,ClosureDate,Type,Region,Category,Country,Group,Summary,TSC,Summary_c,Summary_lemma,Summary_POS_Removed
0,29-09-2022,Incident,AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key - Non-Encrypted systems - Bitlocker - Istanbul TRISTN0277 or TRISTN03409 ,Y,hardware issue  laptop  bitlocker key  nonencrypted systems  bitlocker  istanbul  or  ,hardware issue   laptop   bitlocker key   nonencrypte system   bitlocker   istanbul   or  ,hardware issue bitlocker key nonencrypte system bitlocker istanbul
1,16-11-2022,Incident,AM,,India,Deskside,Managed Security Services reproted a Security Incident for User  EU\Bogdan.Blendea for executing a supicious process on ROBUCN0129 ,Y,managed security services reproted a security incident for user  eubogdanblendea for executing a supicious process on  ,manage security service reprote a security incident for user   eubogdanblendea for execute a supicious process on  ,manage security service security incident eubogdanblendea execute process
2,23-11-2022,Incident,AP,M365,Hong Kong,Deskside,Microsoft Teams - update MS Teams dial in number to English version,Y,microsoft teams  update ms teams dial in number to english version,microsoft team   update ms team dial in number to english version,team update ms team dial number version
3,27-09-2022,Incident,AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,hardware troubleshooting,hardware troubleshooting,hardware
4,05-10-2022,Incident,AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key,Y,hardware issue  laptop  bitlocker key,hardware issue   laptop   bitlocker key,hardware issue bitlocker key
5,21-09-2022,Incident,AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,reported issue  hardware  laptop_desktop,report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
6,27-09-2022,Incident,AP,,Sri Lanka,Deskside,Application Issues,Y,application issues,application issue,application issue
7,27-09-2022,Incident,AP,,Sri Lanka,Deskside,Application Configuration,Y,application configuration,application configuration,application configuration
8,05-10-2022,Incident,AM,Laptop,India,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
9,07-11-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
10,07-11-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,hardware issue  laptop performance,hardware issue   laptop performance,hardware issue performance
11,07-11-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery,Y,hardware issue  laptop battery,hardware issue   laptop battery,hardware issue battery
12,03-02-2023,Incident,AM,Hardware,United States,Deskside,Hardware Issue - Docking Station(does not supply full power),Y,hardware issue  docking stationdoes not supply full power,hardware issue   docking stationdoe not supply full power,hardware issue power
13,03-02-2023,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
14,08-09-2022,Incident,AM,Windows / OS,United States,Deskside,Windows 10 - Issues ,Y,windows   issues ,window    issue,window issue
15,22-09-2022,Incident,AM,,India,Deskside,Encryption missing on the attached systems,Y,encryption missing on the attached systems,encryption miss on the attach system,encryption miss attach system
16,22-09-2022,Incident,AM,M365,United States,Deskside,Azuresynapce - Microsoft Integration Runtime,Y,azuresynapce  microsoft integration runtime,azuresynapce   microsoft integration runtime,azuresynapce integration runtime
17,27-09-2022,Incident,AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,hardware troubleshooting,hardware troubleshooting,hardware
18,16-01-2023,Incident,EMEA,Laptop,Spain,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,reported issue  hardware  laptop_desktop,report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
19,16-02-2023,Incident,EMEA,,Slovakia,Deskside,Reported Issue - Application - OneDrive,Y,reported issue  application  onedrive,report issue   application   onedrive,report issue application
20,12-09-2022,Incident,AP,Email,India,Deskside,Outlook - Outlook update issue,Y,outlook  outlook update issue,outlook   outlook update issue,outlook outlook issue
21,27-09-2022,Incident,AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,hardware troubleshooting,hardware troubleshooting,hardware
22,17-09-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop running slow,Y,hardware issue  laptop running slow,hardware issue   laptop run slow,hardware issue run
23,15-09-2022,Incident,AM,Network,United States,Deskside,Reported Issue - Network - WiFi,Y,reported issue  network  wifi,report issue   network   wifi,report issue network wifi
24,16-01-2023,Incident,EMEA,Network,Spain,Deskside,Reported Issue - Network - Other,Y,reported issue  network  other,report issue   network   other,report issue network
25,27-09-2022,Incident,AP,Windows / OS,Sri Lanka,Deskside,Windows Troubleshooting,Y,windows troubleshooting,window troubleshooting,window
26,15-12-2022,Incident,AM,,India,Deskside,EU Non Encrypted machines,Y,eu non encrypted machines,eu non encrypt machine,eu non machine
27,13-09-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
28,01-09-2022,Incident,AM,M365,United States,Deskside,Reported Issue - Application - Microsoft Office,Y,reported issue  application  microsoft office,report issue   application   microsoft office,report issue application office
29,15-02-2023,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
30,05-10-2022,Incident,AM,Hardware,India,Deskside,Hardware Issue - EU Non Encrypted machines,Y,hardware issue  eu non encrypted machines,hardware issue   eu non encrypt machine,hardware issue machine
31,21-09-2022,Incident,AM,Hardware,India,Deskside,Hardware Issue - EU Non Encrypted machines,Y,hardware issue  eu non encrypted machines,hardware issue   eu non encrypt machine,hardware issue machine
32,01-11-2022,Incident,AM,Laptop,United States,Deskside,Michael Hartnett - JLL Hardware Issue - Laptop Loaner required,Y,michael hartnett  jll hardware issue  laptop loaner required,michael hartnett   jll hardware issue   laptop loaner require,michael hartnett jll hardware issue loaner require
33,03-10-2022,Incident,AP,,Singapore,Deskside,Application Issue - Asure Resource Scheduler,Y,application issue  asure resource scheduler,application issue   asure resource scheduler,application issue asure resource scheduler
34,15-09-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
35,11-01-2023,Incident,AM,Access,United States,Deskside,Resource Schedule --  Access issues,Y,resource schedule   access issues,resource schedule    access issue,resource schedule access issue
36,25-10-2022,Incident,AM,,United States,Deskside,Excel -  Issues,Y,excel   issues,excel    issue,issue
37,25-11-2022,Incident,AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,reported issue  hardware  laptop_desktop,report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
38,16-02-2023,Incident,AP,,India,Deskside,EU Unencrypted Machines July 4 2022,Y,eu unencrypted machines july  ,eu unencrypte machine july  ,machine july
39,06-09-2022,Incident,AM,Active Directory,United States,Deskside,BAC Compliance Checking at Login,Y,bac compliance checking at login,bac compliance checking at login,bac compliance login
40,01-09-2022,Incident,AM,Windows / OS,United States,Deskside,"Windows 10 - ""There Are Currently No Power Options Available"" Error",Y,windows   there are currently no power options available error,window    there be currently no power option available error,window power option error
41,21-09-2022,Incident,AM,Hardware,United States,Deskside,Hardware - Wrong shipping address,Y,hardware  wrong shipping address,hardware   wrong shipping address,hardware shipping address
42,07-11-2022,Incident,AM,Laptop,United States,Deskside,URGENT - Hardware Issue - Laptop (access),Y,urgent  hardware issue  laptop access,urgent   hardware issue   laptop access,hardware issue access
43,01-09-2022,Incident,AM,,United States,Deskside,AM - JLL RATA Comply - Update Version 21.1 Admin Assistance - USLILVMPRDSQL16,Y,am  jll rata comply  update version  admin assistance  ,be   jll rata comply   update version   admin assistance  ,comply version assistance
44,21-11-2022,Incident,AM,,United States,Deskside,NO CCM INSTALLED AT ALL,Y,no ccm installed at all,no ccm instal at all,ccm instal
45,11-01-2023,Incident,AM,Network,United States,Deskside,Reported Issue - Network - Other,Y,reported issue  network  other,report issue   network   other,report issue network
46,01-02-2023,Incident,AP,,South Korea,Deskside,Reported Issue - Other / Miscellaneous,Y,reported issue  other  miscellaneous,report issue   other   miscellaneous,report issue
47,19-10-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop screen is cracked / the crack is expanding ,Y,hardware issue  laptop screen is cracked  the crack is expanding ,hardware issue   laptop screen be crack   the crack be expand,hardware issue crack expand
48,22-09-2022,Incident,AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
49,26-12-2022,Incident,AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
50,02-09-2022,Incident,AM,Access,United States,Deskside,Box - Install and access Issue,Y,box  install and access issue,box   install and access issue,box install access issue
51,20-09-2022,Incident,AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop HF5R473 to HJ6RXD3 ,Y,reported issue  hardware  laptop_desktop  to  ,report issue   hardware   laptop_desktop   to  ,report issue hardware
52,20-01-2023,Incident,AM,M365,United States,Deskside, IRV - MS Teams / Telecom  Voice Calling- Issues - Paula Paredes,Y, irv  ms teams  telecom  voice calling issues  paula paredes,  irv   ms team   telecom   voice call issue   paula parede,irv ms team telecom voice call issue paula parede
53,29-11-2022,Incident,AP,,Australia,Deskside,Application Issue - OneDrive Not Opening,Y,application issue  onedrive not opening,application issue   onedrive not open,application issue
54,14-11-2022,Incident,AM,,United States,Deskside,Dell docking stations box equipment INC1049111 as reference,Y,dell docking stations box equipment  as reference,dell docking station box equipment   as reference,dell station box equipment reference
55,16-09-2022,Incident,AM,,Canada,Deskside,JLL Sharepoint Excel File permissions,Y,jll sharepoint excel file permissions,jll sharepoint excel file permission,jll sharepoint excel file permission
56,07-11-2022,Incident,AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,hardware issue  laptop,hardware issue   laptop,hardware issue laptop
57,01-12-2022,Incident,AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,reported issue  hardware  laptop_desktop,report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
58,28-09-2022,Incident,AM,,United States,Deskside,WebEx Meetings - Meeting / Disable the lobby in the personal room,Y,webex meetings  meeting  disable the lobby in the personal room,webex meeting   meeting   disable the lobby in the personal room,meeting meeting lobby room
