num,ptio,summ,notes,Cleaned_Column
INC0110205,2 - High,Critical ALERT:  A Baseline Services_Windows component  on XA6506 is in a current state of: Down,"Issue Identification: A Baseline Services_Windows component  on XA6506 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.","issue identification a baseline services_windows component  on  is in a current state of down
resolution we have restarted the crowdstrike falcon sensor service now all automatic services are  up and running fine 
solarwinds confirmation yesno  yes"
INC0110206,2 - High,Critical ALERT:  A Baseline Services_Windows component  on XA6530 is in a current state of: Down,"Issue Identification: A Baseline Services_Windows component  on XA6530 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.","issue identification a baseline services_windows component  on  is in a current state of down
resolution we have restarted the crowdstrike falcon sensor service now all automatic services are  up and running fine 
solarwinds confirmation yesno  yes"
INC0110210,2 - High,ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 9 % is available,server is in maintenance mode,server is in maintenance mode
INC0110216,3 - Moderate,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
INC0110233,2 - High,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,Now the utilization is normal,now the utilization is normal
INC0110235,3 - Moderate,Warning Alert: Memory Utilization on GBVCLSQ2-PRESS is : 95 %,"Issue Identification: Memory Utilization on GBVCLSQ2-PRESS is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
INC0110236,3 - Moderate,Warning Alert: Memory Utilization on GBVVSSQ8 is : 95 %,"Issue Identification: Memory Utilization on GBVVSSQ8 is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
INC0110243,3 - Moderate,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
INC0110260,3 - Moderate,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
INC0110263,2 - High,Critical Alert: Memory Utilization on XALIC01 is : 99 %,"Issue Identification: Memory Utilization on XALIC01 is : 99 %
Resolution: Alert reset - issue detected as resolved by Orion, After the kill of the Service - Simplefi license it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the kill of the service  simplefi license its come down 
solarwinds confirmation yesno  yes"
INC0110266,3 - Moderate,Alert: CPU Utilization on AUS-BI02 is Warning	,"Resolution notes copied from Parent Incident: utilization looks normal
hence resolving ","resolution notes copied from parent incident utilization looks normal
hence resolving "
INC0110269,3 - Moderate,Alert: CPU Utilization on GBVVSDS0 is Warning	,"Resolution notes copied from Parent Incident: utilization looks normal
hence resolving ","resolution notes copied from parent incident utilization looks normal
hence resolving "
INC0110284,4 - Low,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down,issue resolved,issue resolved
INC0110287,2 - High,Alert: CPU Utilization on GBVVSWW7 is Critical	,"Issue Identification: CPU Utilization on GBVVSWW7 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification cpu utilization on  is critical	
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
INC0110288,3 - Moderate,Warning Alert: Memory Utilization on gbdvssq0 is : 97 %,"Issue Identification: Memory Utilization on gbdvssq0 is : 97 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
INC0110289,2 - High,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Critical,"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar","hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
INC0110290,3 - Moderate,Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning,Now the utilization is normal. Reset email generated.,now the utilization is normal reset email generated
INC0110292,3 - Moderate,Warning Alert: Memory Utilization on CAV-SQLDW04 is : 94 %,"Issue Identification: Memory Utilization on CAV-SQLDW04 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
INC0110293,2 - High,Alert: CPU Utilization on AUS-BI02 is Critical	,"Issue Identification: CPU Utilization on AUS-BI02 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification cpu utilization on  is critical	
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
INC0110297,3 - Moderate,Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %,"Issue Identification: Memory Utilization on GBVVSCL3 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
INC0110298,2 - High,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	,"Issue Identification: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification cpu utilization on  is critical	
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
INC0110301,3 - Moderate,Alert: CPU Utilization on tcmdev-ora01 is Critical,CPU utilization is normal now. Reset email generated.,cpu utilization is normal now reset email generated
