resolver,summary,Cleaned_Column,topic_percent,topic,top_words
Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6506 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6530 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Citrix Support,ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 9 % is available,alert disk space on  label  has currently   is available,73.05062371521308,7,available-space
Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
Linux Support,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,alert cpu utilization on  is critical,69.22142522263883,8,cpu-utilization
Windows Support,Warning Alert: Memory Utilization on GBVCLSQ2-PRESS is : 95 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
Windows Support,Warning Alert: Memory Utilization on GBVVSSQ8 is : 95 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
Citrix Support,Critical Alert: Memory Utilization on XALIC01 is : 99 %,critical alert memory utilization on  is   ,68.91995482581358,6,memory-warning
Windows Support,Alert: CPU Utilization on AUS-BI02 is Warning	,alert cpu utilization on  is warning	,69.2179321829216,5,warning-cpu
Windows Support,Alert: CPU Utilization on GBVVSDS0 is Warning	,alert cpu utilization on  is warning	,69.2179321829216,5,warning-cpu
Windows Support,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down,73.81056435333,9,component-current
Windows Support,Alert: CPU Utilization on GBVVSWW7 is Critical	,alert cpu utilization on  is critical	,69.22142522263883,8,cpu-utilization
