resolver,summary
Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6506 is in a current state of: Down
Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6530 is in a current state of: Down
Citrix Support,ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 9 % is available
Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
Linux Support,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical
Windows Support,Warning Alert: Memory Utilization on GBVCLSQ2-PRESS is : 95 %
Windows Support,Warning Alert: Memory Utilization on GBVVSSQ8 is : 95 %
Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
Citrix Support,Critical Alert: Memory Utilization on XALIC01 is : 99 %
Windows Support,Alert: CPU Utilization on AUS-BI02 is Warning	
Windows Support,Alert: CPU Utilization on GBVVSDS0 is Warning	
Windows Support,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down
Windows Support,Alert: CPU Utilization on GBVVSWW7 is Critical	
Windows Support,Warning Alert: Memory Utilization on gbdvssq0 is : 97 %
JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Critical
Linux Support,Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning
Windows Support,Warning Alert: Memory Utilization on CAV-SQLDW04 is : 94 %
Windows Support,Alert: CPU Utilization on AUS-BI02 is Critical	
Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %
Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
Linux Support,Alert: CPU Utilization on tcmdev-ora01 is Critical
JDE CNC Technical,Alert: CPU Utilization in GJDEWEB08 is Critical	
Citrix Support,ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available
Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	
Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %
Windows Support,Warning Alert: Memory Utilization on GBVVSFS3 is : 94 %
Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %
JDE CNC Technical,Alert: CPU Utilization on GJDEWEB08 is Critical
Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %
Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %
Windows Support,Alert: Memory Utilization on XNETWEB03 is in Warning
Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 94 %
Citrix Support,ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available
Windows Support,Alert: CPU Utilization on TXAUS-DC01 is Critical	
Citrix Support,ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available
Citrix Support,ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available
Citrix Support,ALERT: DISK SPACE on XA6529-C:\ Label: 88E6AF70 has currently 20 % is available
