notes,Cleaned_Column
"Issue Identification: A Baseline Services_Windows component  on XA6506 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.","issue identification a baseline services_windows component  on  is in a current state of down
resolution we have restarted the crowdstrike falcon sensor service now all automatic services are  up and running fine 
solarwinds confirmation yesno  yes"
"Issue Identification: A Baseline Services_Windows component  on XA6530 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.","issue identification a baseline services_windows component  on  is in a current state of down
resolution we have restarted the crowdstrike falcon sensor service now all automatic services are  up and running fine 
solarwinds confirmation yesno  yes"
server is in maintenance mode,server is in maintenance mode
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Now the utilization is normal,now the utilization is normal
"Issue Identification: Memory Utilization on GBVCLSQ2-PRESS is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"Issue Identification: Memory Utilization on GBVVSSQ8 is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,alert reset  issue detected as resolved by orion
"Issue Identification: Memory Utilization on XALIC01 is : 99 %
Resolution: Alert reset - issue detected as resolved by Orion, After the kill of the Service - Simplefi license it's come down. 
SolarWinds Confirmation (Yes/No):  Yes","issue identification memory utilization on  is   
resolution alert reset  issue detected as resolved by orion after the kill of the service  simplefi license its come down 
solarwinds confirmation yesno  yes"
