close notes,resolver grp,summary,Cleaned_Column
"Issue Identification: A Baseline Services_Windows component  on XA6506 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.",Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6506 is in a current state of: Down,"issue identification a baseline services_windows component  on xa6506 is in a current state of down
resolution we have restarted the crowdstrike falcon sensor service now all automatic services are  up and running fine 
solarwinds confirmation yesno  yes"
"Issue Identification: A Baseline Services_Windows component  on XA6530 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.",Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6530 is in a current state of: Down,"issue identification a baseline services_windows component  on xa6530 is in a current state of down
resolution we have restarted the crowdstrike falcon sensor service now all automatic services are  up and running fine 
solarwinds confirmation yesno  yes"
server is in maintenance mode,Citrix Support,ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 9 % is available,server is in maintenance mode
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,alert reset  issue detected as resolved by orion
Now the utilization is normal,Linux Support,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,now the utilization is normal
"Issue Identification: Memory Utilization on GBVCLSQ2-PRESS is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVCLSQ2-PRESS is : 95 %,"issue identification memory utilization on gbvclsq2press is  95 
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"Issue Identification: Memory Utilization on GBVVSSQ8 is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ8 is : 95 %,"issue identification memory utilization on gbvvssq8 is  95 
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,alert reset  issue detected as resolved by orion
"Issue Identification: Memory Utilization on XALIC01 is : 99 %
Resolution: Alert reset - issue detected as resolved by Orion, After the kill of the Service - Simplefi license it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,Critical Alert: Memory Utilization on XALIC01 is : 99 %,"issue identification memory utilization on xalic01 is  99 
resolution alert reset  issue detected as resolved by orion after the kill of the service  simplefi license its come down 
solarwinds confirmation yesno  yes"
