close notes,resolver grp,summary,Cleaned_Column
"Issue Identification: A Baseline Services_Windows component  on XA6506 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.",Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6506 is in a current state of: Down,critical alert  a baseline services_windows component  on xa6506 is in a current state of down
"Issue Identification: A Baseline Services_Windows component  on XA6530 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.",Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6530 is in a current state of: Down,critical alert  a baseline services_windows component  on xa6530 is in a current state of down
server is in maintenance mode,Citrix Support,ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 9 % is available,alert disk space on xa6501c label 88e6af70 has currently 9  is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down
Now the utilization is normal,Linux Support,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,alert cpu utilization on wdiprdcml01haasgroupintlcom is critical
"Issue Identification: Memory Utilization on GBVCLSQ2-PRESS is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVCLSQ2-PRESS is : 95 %,warning alert memory utilization on gbvclsq2press is  95 
"Issue Identification: Memory Utilization on GBVVSSQ8 is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ8 is : 95 %,warning alert memory utilization on gbvvssq8 is  95 
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down
"Issue Identification: Memory Utilization on XALIC01 is : 99 %
Resolution: Alert reset - issue detected as resolved by Orion, After the kill of the Service - Simplefi license it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,Critical Alert: Memory Utilization on XALIC01 is : 99 %,critical alert memory utilization on xalic01 is  99 
"Resolution notes copied from Parent Incident: utilization looks normal
hence resolving ",Windows Support,Alert: CPU Utilization on AUS-BI02 is Warning	,alert cpu utilization on ausbi02 is warning	
"Resolution notes copied from Parent Incident: utilization looks normal
hence resolving ",Windows Support,Alert: CPU Utilization on GBVVSDS0 is Warning	,alert cpu utilization on gbvvsds0 is warning	
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down,critical alert  a microsoft iis component  on ausghs01 is in a current state of down
"Issue Identification: CPU Utilization on GBVVSWW7 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on GBVVSWW7 is Critical	,alert cpu utilization on gbvvsww7 is critical	
"Issue Identification: Memory Utilization on gbdvssq0 is : 97 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on gbdvssq0 is : 97 %,warning alert memory utilization on gbdvssq0 is  97 
