close notes,resolver grp,summary
"Issue Identification: A Baseline Services_Windows component  on XA6506 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.",Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6506 is in a current state of: Down
"Issue Identification: A Baseline Services_Windows component  on XA6530 is in a current state of: Down
Resolution: We have restarted the CrowdStrike Falcon Sensor Service now all automatic services are  up and running fine. 
SolarWinds Confirmation (Yes/No):  Yes.",Citrix Support,Critical ALERT:  A Baseline Services_Windows component  on XA6530 is in a current state of: Down
server is in maintenance mode,Citrix Support,ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 9 % is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
Now the utilization is normal,Linux Support,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical
"Issue Identification: Memory Utilization on GBVCLSQ2-PRESS is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVCLSQ2-PRESS is : 95 %
"Issue Identification: Memory Utilization on GBVVSSQ8 is : 95 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ8 is : 95 %
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
"Issue Identification: Memory Utilization on XALIC01 is : 99 %
Resolution: Alert reset - issue detected as resolved by Orion, After the kill of the Service - Simplefi license it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,Critical Alert: Memory Utilization on XALIC01 is : 99 %
"Resolution notes copied from Parent Incident: utilization looks normal
hence resolving ",Windows Support,Alert: CPU Utilization on AUS-BI02 is Warning	
"Resolution notes copied from Parent Incident: utilization looks normal
hence resolving ",Windows Support,Alert: CPU Utilization on GBVVSDS0 is Warning	
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down
"Issue Identification: CPU Utilization on GBVVSWW7 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on GBVVSWW7 is Critical	
"Issue Identification: Memory Utilization on gbdvssq0 is : 97 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on gbdvssq0 is : 97 %
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Critical
Now the utilization is normal. Reset email generated.,Linux Support,Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning
"Issue Identification: Memory Utilization on CAV-SQLDW04 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on CAV-SQLDW04 is : 94 %
"Issue Identification: CPU Utilization on AUS-BI02 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on AUS-BI02 is Critical	
"Issue Identification: Memory Utilization on GBVVSCL3 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %
