s,c,Cleaned_Column
Critical ALERT:  A Baseline Services_Windows component  on XA6506 is in a current state of: Down,critical alert  a baseline services_windows component  on xa6506 is in a current state of down,critical alert  a baseline services_windows component  on xa6506 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on XA6530 is in a current state of: Down,critical alert  a baseline services_windows component  on xa6530 is in a current state of down,critical alert  a baseline services_windows component  on xa6530 is in a current state of down
ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 9 % is available,alert disk space on xa6501c label 88e6af70 has currently 9  is available,alert disk space on xa6501c label 88e6af70 has currently 9  is available
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down,tier 3  critical device down frtartz300f01 is down
Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,alert cpu utilization on wdiprdcml01haasgroupintlcom is critical,alert cpu utilization on wdiprdcml01haasgroupintlcom is critical
Warning Alert: Memory Utilization on GBVCLSQ2-PRESS is : 95 %,warning alert memory utilization on gbvclsq2press is  95 ,warning alert memory utilization on gbvclsq2press is  95 
Warning Alert: Memory Utilization on GBVVSSQ8 is : 95 %,warning alert memory utilization on gbvvssq8 is  95 ,warning alert memory utilization on gbvvssq8 is  95 
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down,tier 3  critical device down frtartz300f01 is down
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down,tier 3  critical device down frtartz300f01 is down
Critical Alert: Memory Utilization on XALIC01 is : 99 %,critical alert memory utilization on xalic01 is  99 ,critical alert memory utilization on xalic01 is  99 
Alert: CPU Utilization on AUS-BI02 is Warning	,alert cpu utilization on ausbi02 is warning	,alert cpu utilization on ausbi02 is warning	
Alert: CPU Utilization on GBVVSDS0 is Warning	,alert cpu utilization on gbvvsds0 is warning	,alert cpu utilization on gbvvsds0 is warning	
Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down,critical alert  a microsoft iis component  on ausghs01 is in a current state of down,critical alert  a microsoft iis component  on ausghs01 is in a current state of down
Alert: CPU Utilization on GBVVSWW7 is Critical	,alert cpu utilization on gbvvsww7 is critical	,alert cpu utilization on gbvvsww7 is critical	
Warning Alert: Memory Utilization on gbdvssq0 is : 97 %,warning alert memory utilization on gbdvssq0 is  97 ,warning alert memory utilization on gbdvssq0 is  97 
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Critical,critical alert  a jde_webserver_services component  on gjdeweb08 is in a current state of critical,critical alert  a jde_webserver_services component  on gjdeweb08 is in a current state of critical
Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning,alert memory utilization on tcmprdhaasr02tcmiscom is warning,alert memory utilization on tcmprdhaasr02tcmiscom is warning
Warning Alert: Memory Utilization on CAV-SQLDW04 is : 94 %,warning alert memory utilization on cavsqldw04 is  94 ,warning alert memory utilization on cavsqldw04 is  94 
Alert: CPU Utilization on AUS-BI02 is Critical	,alert cpu utilization on ausbi02 is critical	,alert cpu utilization on ausbi02 is critical	
Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %,warning alert memory utilization on gbvvscl3 is  94 ,warning alert memory utilization on gbvvscl3 is  94 
Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	,alert cpu utilization on ausesx17haasgroupintlcom is critical	,alert cpu utilization on ausesx17haasgroupintlcom is critical	
Alert: CPU Utilization on tcmdev-ora01 is Critical,alert cpu utilization on tcmdevora01 is critical,alert cpu utilization on tcmdevora01 is critical
Alert: CPU Utilization in GJDEWEB08 is Critical	,alert cpu utilization in gjdeweb08 is critical	,alert cpu utilization in gjdeweb08 is critical	
ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6506c label 88e6af70 has currently 20  is available,alert disk space on xa6506c label 88e6af70 has currently 20  is available
Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	,alert cpu utilization on ausbiprdpub02 is critical	,alert cpu utilization on ausbiprdpub02 is critical	
