desc,Cleaned_Column,Lemmatized_Column,topic_percent,topic,top_words,subtopic,subtopic_name
"Application: Baseline Services_Windows
Application Component: CrowdStrike Falcon Sensor Service(Down)
Application State: Down
Node: XA6506
Node Description: Windows 2008 R2 Server
IP Address: 192.168.52.66

This issue occurred on Wednesday, June 1, 2022 12:22 AM CT.
      
ALert Name : Baseline_Windows_Service_Down -Critical Auto ticket Creation

View full device details here: https://AUS-ORIONAPP01:443/Orion/View.aspx?NetObject=AA:2536
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:86373
To claim ownership of this issue: https://solarwinds.wescoair.com:443/Orion/Netperfmon/AckAlert.aspx?AlertDefID=86373

NOTE:
If this alert is not acknowledged, additional email reminders will be sent every 7 days.If you acknowledge this alert, you are now responsible for resolving this issue.
Ruby Winds | Monitoring  
Email: ruby.winds@wescoair.com | Web: www.wescoair.com 
","application baseline services_windows
application component crowdstrike falcon sensor servicedown
application state down
node 
node description windows   server
ip address 

this issue occurred on wednesday june    am ct
      
alert name  baseline_windows_service_down critical auto ticket creation

view full device details here 
view full alert details here 
to claim ownership of this issue 

note
if this alert is not acknowledged additional email reminders will be sent every  daysif you acknowledge this alert you are now responsible for resolving this issue
ruby winds  monitoring  
email rubywindswescoaircom  web wwwwescoaircom 
","application baseline services_window 
 application component crowdstrike falcon sensor servicedown 
 application state down 
 node 
 node description window    server 
 ip address 

 this issue occur on wednesday june     be ct 
      
 alert name   baseline_windows_service_down critical auto ticket creation 

 view full device detail here 
 view full alert detail here 
 to claim ownership of this issue 

 note 
 if this alert be not acknowledge additional email reminder will be send every   daysif you acknowledge this alert you be now responsible for resolve this issue 
 ruby wind   monitor  
 email rubywindswescoaircom   web wwwwescoaircom 
",87.3171482843031,3,application-issue,,
"Application: Baseline Services_Windows
Application Component: CrowdStrike Falcon Sensor Service(Down)
Application State: Down
Node: XA6530
Node Description: Windows 2008 R2 Server
IP Address: 192.168.52.10

This issue occurred on Wednesday, June 1, 2022 12:22 AM CT.
      
ALert Name : Baseline_Windows_Service_Down -Critical Auto ticket Creation

View full device details here: https://AUS-ORIONAPP01:443/Orion/View.aspx?NetObject=AA:2560
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85202
To claim ownership of this issue: https://solarwinds.wescoair.com:443/Orion/Netperfmon/AckAlert.aspx?AlertDefID=85202

NOTE:
If this alert is not acknowledged, additional email reminders will be sent every 7 days.If you acknowledge this alert, you are now responsible for resolving this issue.
Ruby Winds | Monitoring  
Email: ruby.winds@wescoair.com | Web: www.wescoair.com 
","application baseline services_windows
application component crowdstrike falcon sensor servicedown
application state down
node 
node description windows   server
ip address 

this issue occurred on wednesday june    am ct
      
alert name  baseline_windows_service_down critical auto ticket creation

view full device details here 
view full alert details here 
to claim ownership of this issue 

note
if this alert is not acknowledged additional email reminders will be sent every  daysif you acknowledge this alert you are now responsible for resolving this issue
ruby winds  monitoring  
email rubywindswescoaircom  web wwwwescoaircom 
","application baseline services_window 
 application component crowdstrike falcon sensor servicedown 
 application state down 
 node 
 node description window    server 
 ip address 

 this issue occur on wednesday june     be ct 
      
 alert name   baseline_windows_service_down critical auto ticket creation 

 view full device detail here 
 view full alert detail here 
 to claim ownership of this issue 

 note 
 if this alert be not acknowledge additional email reminder will be send every   daysif you acknowledge this alert you be now responsible for resolve this issue 
 ruby wind   monitor  
 email rubywindswescoaircom   web wwwwescoaircom 
",87.3171482843031,3,application-issue,,
"Volume: XA6501-C:\ Label: 88E6AF70
Total size: 73.2 G
Percent used: 91 %
Space available: 6.3 G
Percent available: 9 %
Node Description: Windows 2008 R2 Server
IP Address: 192.168.52.61

This issue occurred on Wednesday, June 1, 2022 12:47 AM CT.
      
Alert Name: Citrix_ Windows_Disk utilization_Critical-Threshold -1
View full device details here: https://AUS-ORIONAPP01:443/Orion/View.aspx?NetObject=V:1932
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:91578
To claim ownership of this issue: https://solarwinds.wescoair.com:443/Orion/Netperfmon/AckAlert.aspx?AlertDefID=91578
If this alert is not acknowledged, additional email reminders will be sent every 7 days. If you acknowledge this alert, you are now responsible for resolving this issue.
","volume  label 
total size  g
percent used  
space available  g
percent available  
node description windows   server
ip address 

this issue occurred on wednesday june    am ct
      
alert name citrix_ windows_disk utilization_criticalthreshold 
view full device details here 
view full alert details here 
to claim ownership of this issue 
if this alert is not acknowledged additional email reminders will be sent every  days if you acknowledge this alert you are now responsible for resolving this issue
","volume   label 
 total size   g 
 percent use  
 space available   g 
 percent available  
 node description window    server 
 ip address 

 this issue occur on wednesday june     be ct 
      
 alert name citrix _ windows_disk utilization_criticalthreshold 
 view full device detail here 
 view full alert detail here 
 to claim ownership of this issue 
 if this alert be not acknowledge additional email reminder will be send every   day if you acknowledge this alert you be now responsible for resolve this issue 
",76.9232750692222,5,issue-percent,,
"Node Data:
Node:FR-TAR-TZ300-F01
Node IP:10.208.48.2
Desciprtion:SonicWALL NSA 240
Node Location:Pattonair:  France- Tarnos
Node Address:
Local Contact: 

Network Node status: Down

This event occurred on Wednesday, June 1, 2022 1:11 AM CT.

Alert Name: TIER 3: Critical Device Down - NETWORK TEAM
View full device details here: https://solarwinds.wescoair.com:443/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:4231
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92564
To claim ownership of this issue: https://solarwinds.wescoair.com:443/Orion/Netperfmon/AckAlert.aspx?AlertDefID=92564","node data

node 
desciprtionsonicwall nsa 
node locationpattonair  france tarnos
node address
local contact 

network node status down

this event occurred on wednesday june    am ct

alert name tier  critical device down  network team
view full device details here 
view full alert details here 
to claim ownership of this issue ","node data 

 node 
 desciprtionsonicwall nsa 
 node locationpattonair   france   tarnos 
 node address 
 local contact 

 network node status down 

 this event occur on wednesday june     be ct 

 alert name tier   critical device down   network team 
 view full device detail here 
 view full alert detail here 
 to claim ownership of this issue",83.52585990341555,0,network-event,,
"Node Name: wdiprd-cml01.haasgroupintl.com

IP address: 192.168.251.9

Alert Time: Wednesday, June 1, 2022 2:22 AM

Severity: Critical
CPU Utilization:  97 %

Alert Details: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:95197
Alert Name: Prod_Linux_CPU utilization_Critical -Threshold -2

View full device details here: https://solarwinds.wescoair.com:443/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:3390
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:95197
To claim ownership of this issue: https://solarwinds.wescoair.com:443/Orion/Netperfmon/AckAlert.aspx?AlertDefID=95197
 

If this alert is not acknowledged, additional email reminders will be sent every 7 days If you acknowledge this alert, you are now responsible for resolving this issue.
","node name 

ip address 

alert time wednesday june    am

severity critical
cpu utilization   

alert details 
alert name prod_linux_cpu utilization_critical threshold 

view full device details here 
view full alert details here 
to claim ownership of this issue 
 

if this alert is not acknowledged additional email reminders will be sent every  days if you acknowledge this alert you are now responsible for resolving this issue
","node name 

 ip address 

 alert time wednesday june     be 

 severity critical 
 cpu utilization   

 alert detail 
 alert name prod_linux_cpu utilization_critical threshold 

 view full device detail here 
 view full alert detail here 
 to claim ownership of this issue 
 

 if this alert be not acknowledge additional email reminder will be send every   day if you acknowledge this alert you be now responsible for resolve this issue 
",84.4781936765693,6,utilization_critical-cpu,,
"Node Name: GBVCLSQ2-PRESS
IP address: 10.224.40.71
Alert Time: Wednesday, June 1, 2022 2:36 AM
Severity: Warning
Current memory utilization :  95 % 

Free Memory Available : 5 % 

Total Memory : 64.0 G

Memory Used : 61.3 G

Memory Available : 2.7 G 

View full device details here: https://solarwinds.wescoair.com:443/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:4591.
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:95376
Click here to acknowledge the alert: https://solarwinds.wescoair.com:443/Orion/Netperfmon/AckAlert.aspx?AlertDefID=95376

Alert Name: Baseline_Win_Memory utilization_Threshold-2
","node name 
ip address 
alert time wednesday june    am
severity warning
current memory utilization     

free memory available    

total memory   g

memory used   g

memory available   g 

view full device details here 
view full alert details here 
click here to acknowledge the alert 

alert name baseline_win_memory 
","node name 
 ip address 
 alert time wednesday june     be 
 severity warn 
 current memory utilization     

 free memory available    

 total memory    g 

 memory use    g 

 memory available    g 

 view full device detail here 
 view full alert detail here 
 click here to acknowledge the alert 

 alert name baseline_win_memory 
",78.6392381697406,2,memory-available,,
"Node Name: GBVVSSQ8
IP address: 10.224.40.224
Alert Time: Wednesday, June 1, 2022 2:41 AM
Severity: Warning
Current memory utilization :  95 % 

Free Memory Available : 5 % 

Total Memory : 64.0 G

Memory Used : 61.3 G

Memory Available : 2.7 G 

View full device details here: https://solarwinds.wescoair.com:443/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:4361.
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:95375
Click here to acknowledge the alert: https://solarwinds.wescoair.com:443/Orion/Netperfmon/AckAlert.aspx?AlertDefID=95375

Alert Name: Baseline_Win_Memory utilization_Threshold-2
","node name 
ip address 
alert time wednesday june    am
severity warning
current memory utilization     

free memory available    

total memory   g

memory used   g

memory available   g 

view full device details here 
view full alert details here 
click here to acknowledge the alert 

alert name baseline_win_memory 
","node name 
 ip address 
 alert time wednesday june     be 
 severity warn 
 current memory utilization     

 free memory available    

 total memory    g 

 memory use    g 

 memory available    g 

 view full device detail here 
 view full alert detail here 
 click here to acknowledge the alert 

 alert name baseline_win_memory 
",78.6392381697406,2,memory-available,,
"Node Data:
Node:FR-TAR-TZ300-F01
Node IP:10.208.48.2
Desciprtion:SonicWALL NSA 240
Node Location:Pattonair:  France- Tarnos
Node Address:
Local Contact: 

Network Node status: Down

This event occurred on Wednesday, June 1, 2022 3:01 AM CT.

Alert Name: TIER 3: Critical Device Down - NETWORK TEAM
View full device details here: https://solarwinds.wescoair.com:443/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:4231
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92564
To claim ownership of this issue: https://solarwinds.wescoair.com:443/Orion/Netperfmon/AckAlert.aspx?AlertDefID=92564","node data

node 
desciprtionsonicwall nsa 
node locationpattonair  france tarnos
node address
local contact 

network node status down

this event occurred on wednesday june    am ct

alert name tier  critical device down  network team
view full device details here 
view full alert details here 
to claim ownership of this issue ","node data 

 node 
 desciprtionsonicwall nsa 
 node locationpattonair   france   tarnos 
 node address 
 local contact 

 network node status down 

 this event occur on wednesday june     be ct 

 alert name tier   critical device down   network team 
 view full device detail here 
 view full alert detail here 
 to claim ownership of this issue",83.52585990341555,0,network-event,,
"Node Data:
Node:FR-TAR-TZ300-F01
Node IP:10.208.48.2
Desciprtion:SonicWALL NSA 240
Node Location:Pattonair:  France- Tarnos
Node Address:
Local Contact: 

Network Node status: Down

This event occurred on Wednesday, June 1, 2022 4:01 AM CT.

Alert Name: TIER 3: Critical Device Down - NETWORK TEAM
View full device details here: https://solarwinds.wescoair.com:443/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:4231
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:92564
To claim ownership of this issue: https://solarwinds.wescoair.com:443/Orion/Netperfmon/AckAlert.aspx?AlertDefID=92564","node data

node 
desciprtionsonicwall nsa 
node locationpattonair  france tarnos
node address
local contact 

network node status down

this event occurred on wednesday june    am ct

alert name tier  critical device down  network team
view full device details here 
view full alert details here 
to claim ownership of this issue ","node data 

 node 
 desciprtionsonicwall nsa 
 node locationpattonair   france   tarnos 
 node address 
 local contact 

 network node status down 

 this event occur on wednesday june     be ct 

 alert name tier   critical device down   network team 
 view full device detail here 
 view full alert detail here 
 to claim ownership of this issue",83.52585990341555,0,network-event,,
"Node Name: XALIC01
IP address: 192.168.52.100
Alert Time: Wednesday, June 1, 2022 4:06 AM
Severity: warning
Current memory utilization :  99 % 

Free Memory Available : 1 % 

Total Memory : 8.0 G

Memory Used : 7.9 G

Memory Available : 59 M 

View full device details here: https://solarwinds.wescoair.com:443/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:547.
View full alert details here: https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:53353
Click here to acknowledge the alert: https://solarwinds.wescoair.com:443/Orion/Netperfmon/AckAlert.aspx?AlertDefID=53353

Alert Name: Baseline_Win_Memory utilization_Threshold-3
","node name 
ip address 
alert time wednesday june    am
severity warning
current memory utilization     

free memory available    

total memory   g

memory used   g

memory available   m 

view full device details here 
view full alert details here 
click here to acknowledge the alert 

alert name baseline_win_memory 
","node name 
 ip address 
 alert time wednesday june     be 
 severity warn 
 current memory utilization     

 free memory available    

 total memory    g 

 memory use    g 

 memory available    m 

 view full device detail here 
 view full alert detail here 
 click here to acknowledge the alert 

 alert name baseline_win_memory 
",78.6392381697406,2,memory-available,,
