Region,Category,Country,Group,Summary,TSC,Date,Type,Cleaned_Column,Lemmatized_Column,Final_cleaned,topic_percent,topic,top_words,subtopic,subtopic_name,Category-Summary
AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key - Non-Encrypted systems - Bitlocker - Istanbul TRISTN0277 or TRISTN03409 ,Y,29-09-2022,Incident,hardware issue   laptop   bitlocker key   none,hardware issue   laptop   bitlocker key   none,hardware issue laptop bitlocker key,43.83623126857055,10,window-keyboard,1.0,bitlocker-key,Laptop Hardware Issue - Laptop - BitLocker Key - Non-Encrypted systems - Bitlocker - Istanbul TRISTN0277 or TRISTN03409 
AM,,India,Deskside,Managed Security Services reproted a Security Incident for User  EU\Bogdan.Blendea for executing a supicious process on ROBUCN0129 ,Y,16-11-2022,Incident,      manage security service reprote a security i,manage security service reprote a security I,manage security service reprote,41.849246992054994,1,printer-hardware,1.0,manage-service,nan Managed Security Services reproted a Security Incident for User  EU\Bogdan.Blendea for executing a supicious process on ROBUCN0129 
AP,M365,Hong Kong,Deskside,Microsoft Teams - update MS Teams dial in number to English version,Y,23-11-2022,Incident,     microsoft team   update ms team dial in numbe,microsoft team   update ms team dial in numbe,microsoft team update ms team dial,68.72086137984962,5,team-microsoft,0.0,team-ms,M365 Microsoft Teams - update MS Teams dial in number to English version
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                              hardware troubleshoo,                           hardware troubleshooting,,54.16666666655456,2,laptop-hardware,1.0,nan-function,Hardware Hardware Troubleshooting
AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key,Y,05-10-2022,Incident,               hardware issue   laptop   bitlocker,            hardware issue   laptop   bitlocker key,hardware issue laptop bitlocker key,43.83623126857055,10,window-keyboard,1.0,bitlocker-key,Laptop Hardware Issue - Laptop - BitLocker Key
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,21-09-2022,Incident,          report issue   hardware   laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop,68.005206017744,3,report-issue,0.0,laptop_desktop-report,Laptop Reported Issue - Hardware - Laptop_Desktop
AP,,Sri Lanka,Deskside,Application Issues,Y,27-09-2022,Incident,                                 application issue,                                 application issue,application issue,60.71773668899897,3,report-issue,1.0,application-issue,nan Application Issues
AP,,Sri Lanka,Deskside,Application Configuration,Y,27-09-2022,Incident,                             application configura,                          application configuration,application configuration,60.55408926102741,10,window-keyboard,0.0,configuration-application,nan Application Configuration
AM,Laptop,India,Deskside,Hardware Issue - Laptop,Y,05-10-2022,Incident,                               hardware issue   la,                            hardware issue   laptop,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-11-2022,Incident,                               hardware issue   la,                            hardware issue   laptop,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,07-11-2022,Incident,                   hardware issue   laptop perform,                hardware issue   laptop performance,hardware issue laptop performance,67.75990465762106,2,laptop-hardware,1.0,performance-laptop,Laptop Hardware Issue - Laptop Performance
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery,Y,07-11-2022,Incident,                       hardware issue   laptop bat,                    hardware issue   laptop battery,hardware issue laptop battery,67.26077818327968,2,laptop-hardware,0.0,battery-laptop,Laptop Hardware Issue - Laptop Battery
AM,Hardware,United States,Deskside,Hardware Issue - Docking Station(does not supply full power),Y,03-02-2023,Incident,     hardware issue   docking stationdoe not suppl,hardware issue   docking stationdoe not suppl,hardware issue,61.53932370368942,2,laptop-hardware,0.0,hardware-issue,Hardware Hardware Issue - Docking Station(does not supply full power)
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,03-02-2023,Incident,                               hardware issue   la,                            hardware issue   laptop,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop
AM,Windows / OS,United States,Deskside,Windows 10 - Issues ,Y,08-09-2022,Incident,                                 window 10   issue,                               window 10   issue,,54.16666666655456,2,laptop-hardware,1.0,nan-function,Windows / OS Windows 10 - Issues 
AM,,India,Deskside,Encryption missing on the attached systems,Y,22-09-2022,Incident,            encryption miss on the attached system,         encryption miss on the attached system,,54.16666666655456,2,laptop-hardware,1.0,nan-function,nan Encryption missing on the attached systems
AM,M365,United States,Deskside,Azuresynapce - Microsoft Integration Runtime,Y,22-09-2022,Incident,          azuresynapce   microsoft integration run,       azuresynapce   microsoft integration runtime,azuresynapce microsoft integration runtime,59.25526196429857,6,admin-install,0.0,azuresynapce-runtime,M365 Azuresynapce - Microsoft Integration Runtime
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                              hardware troubleshoo,                           hardware troubleshooting,,54.16666666655456,2,laptop-hardware,1.0,nan-function,Hardware Hardware Troubleshooting
EMEA,Laptop,Spain,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,16-01-2023,Incident,          report issue   hardware   laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop,68.005206017744,3,report-issue,0.0,laptop_desktop-report,Laptop Reported Issue - Hardware - Laptop_Desktop
EMEA,,Slovakia,Deskside,Reported Issue - Application - OneDrive,Y,16-02-2023,Incident,             report issue   application   onedrive,            report issue   application   onedrive,report issue application onedrive,67.06928922563687,3,report-issue,1.0,onedrive-application,nan Reported Issue - Application - OneDrive
AP,Email,India,Deskside,Outlook - Outlook update issue,Y,12-09-2022,Incident,                        outlook   outlook update i,                     outlook   outlook update issue,outlook outlook update issue,41.72401471124311,0,outlook-email,0.0,outlook-update,Email Outlook - Outlook update issue
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                              hardware troubleshoo,                           hardware troubleshooting,,54.16666666655456,2,laptop-hardware,1.0,nan-function,Hardware Hardware Troubleshooting
AM,Laptop,United States,Deskside,Hardware Issue - Laptop running slow,Y,17-09-2022,Incident,                  hardware issue   laptop run slow,               hardware issue   laptop run slow,hardware issue laptop run,65.26858190823087,11,screen-issue,0.0,run-laptop,Laptop Hardware Issue - Laptop running slow
AM,Network,United States,Deskside,Reported Issue - Network - WiFi,Y,15-09-2022,Incident,                     report issue   network   wifi,                    report issue   network   wifi,report issue network wifi,67.1889928873035,9,office-wifi,1.0,wifi-network,Network Reported Issue - Network - WiFi
EMEA,Network,Spain,Deskside,Reported Issue - Network - Other,Y,16-01-2023,Incident,                    report issue   network   other,                   report issue   network   other,report issue network,37.85274152603251,8,network-connectivity,0.0,network-report,Network Reported Issue - Network - Other
AP,Windows / OS,Sri Lanka,Deskside,Windows Troubleshooting,Y,27-09-2022,Incident,                            window troubleshooting,                            window troubleshooting,,54.16666666655456,2,laptop-hardware,1.0,nan-function,Windows / OS Windows Troubleshooting
AM,,India,Deskside,EU Non Encrypted machines,Y,15-12-2022,Incident,                            eu non encrypt machine,                          eu non encrypt machine,eu non encrypt machine,69.44003911291158,5,team-microsoft,1.0,eu-encrypt,nan EU Non Encrypted machines
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,13-09-2022,Incident,                               hardware issue   la,                            hardware issue   laptop,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop
AM,M365,United States,Deskside,Reported Issue - Application - Microsoft Office,Y,01-09-2022,Incident,     report issue   application   microsoft office,    report issue   application   microsoft office,report issue application microsoft office,27.767926430829483,3,report-issue,1.0,office-microsoft,M365 Reported Issue - Application - Microsoft Office
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,15-02-2023,Incident,                               hardware issue   la,                            hardware issue   laptop,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop
AM,Hardware,India,Deskside,Hardware Issue - EU Non Encrypted machines,Y,05-10-2022,Incident,           hardware issue   eu non encrypt machine,         hardware issue   eu non encrypt machine,hardware issue eu non encrypt machine,67.00009638102267,5,team-microsoft,1.0,eu-encrypt,Hardware Hardware Issue - EU Non Encrypted machines
AM,Hardware,India,Deskside,Hardware Issue - EU Non Encrypted machines,Y,21-09-2022,Incident,           hardware issue   eu non encrypt machine,         hardware issue   eu non encrypt machine,hardware issue eu non encrypt machine,67.00009638102267,5,team-microsoft,1.0,eu-encrypt,Hardware Hardware Issue - EU Non Encrypted machines
AM,Laptop,United States,Deskside,Michael Hartnett - JLL Hardware Issue - Laptop Loaner required,Y,01-11-2022,Incident,    michael hartnett   jll hardware issue   laptop,michael hartnett   jll hardware issue   laptop,michael hartnett jll hardware issue laptop,42.41221873895459,6,admin-install,0.0,michael-jll,Laptop Michael Hartnett - JLL Hardware Issue - Laptop Loaner required
AP,,Singapore,Deskside,Application Issue - Asure Resource Scheduler,Y,03-10-2022,Incident,          application issue   asure resource sched,       application issue   asure resource scheduler,application issue asure resource scheduler,69.37407137135955,1,printer-hardware,1.0,asure-resource,nan Application Issue - Asure Resource Scheduler
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,15-09-2022,Incident,                               hardware issue   la,                            hardware issue   laptop,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop
AM,Access,United States,Deskside,Resource Schedule --  Access issues,Y,11-01-2023,Incident,                 resource schedule    access issue,                resource schedule    access issue,resource schedule access issue,37.81307953223642,0,outlook-email,0.0,schedule-resource,Access Resource Schedule --  Access issues
AM,,United States,Deskside,Excel -  Issues,Y,25-10-2022,Incident,                                    excel    issue,                                    excel    issue,excel issue,58.878942922740976,0,outlook-email,1.0,excel-issue,nan Excel -  Issues
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,25-11-2022,Incident,          report issue   hardware   laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop,68.005206017744,3,report-issue,0.0,laptop_desktop-report,Laptop Reported Issue - Hardware - Laptop_Desktop
AP,,India,Deskside,EU Unencrypted Machines July 4 2022,Y,16-02-2023,Incident,                eu unencrypted machine july 4 2022,                eu unencrypted machine july 4 2022,,54.16666666655456,2,laptop-hardware,1.0,nan-function,nan EU Unencrypted Machines July 4 2022
AM,Active Directory,United States,Deskside,BAC Compliance Checking at Login,Y,06-09-2022,Incident,                     bac compliance check at login,                   bac compliance check at login,bac compliance check,66.26684879763346,9,office-wifi,1.0,check-compliance,Active Directory BAC Compliance Checking at Login
AM,Windows / OS,United States,Deskside,"Windows 10 - ""There Are Currently No Power Options Available"" Error",Y,01-09-2022,Incident,      window 10   there be currently no power opti,window 10   there be currently no power opti,power opti,54.16643274624566,8,network-connectivity,1.0,power-frequent,"Windows / OS Windows 10 - ""There Are Currently No Power Options Available"" Error"
AM,Hardware,United States,Deskside,Hardware - Wrong shipping address,Y,21-09-2022,Incident,                     hardware   wrong shipping add,                  hardware   wrong shipping address,wrong shipping address,54.166578486608486,9,office-wifi,0.0,address-zoom,Hardware Hardware - Wrong shipping address
AM,Laptop,United States,Deskside,URGENT - Hardware Issue - Laptop (access),Y,07-11-2022,Incident,           urgent   hardware issue   laptop access,          urgent   hardware issue   laptop access,urgent hardware issue laptop access,41.94173206745726,4,drive-update,0.0,urgent-access,Laptop URGENT - Hardware Issue - Laptop (access)
AM,,United States,Deskside,AM - JLL RATA Comply - Update Version 21.1 Admin Assistance - USLILVMPRDSQL16,Y,01-09-2022,Incident,    be   jll rata comply   update version 211 admi,be   jll rata comply   update version 211 admi,jll rata update version,37.62755710821901,0,outlook-email,0.0,version-update,nan AM - JLL RATA Comply - Update Version 21.1 Admin Assistance - USLILVMPRDSQL16
AM,,United States,Deskside,NO CCM INSTALLED AT ALL,Y,21-11-2022,Incident,                              no ccm instal at all,                            no ccm instal at all,ccm instal,61.94450311806469,4,drive-update,1.0,ccm-instal,nan NO CCM INSTALLED AT ALL
AM,Network,United States,Deskside,Reported Issue - Network - Other,Y,11-01-2023,Incident,                    report issue   network   other,                   report issue   network   other,report issue network,37.85274152603251,8,network-connectivity,0.0,network-report,Network Reported Issue - Network - Other
AP,,South Korea,Deskside,Reported Issue - Other / Miscellaneous,Y,01-02-2023,Incident,              report issue   other   miscellaneous,             report issue   other   miscellaneous,report issue,61.1277078261925,3,report-issue,0.0,report-issue,nan Reported Issue - Other / Miscellaneous
AM,Laptop,United States,Deskside,Hardware Issue - Laptop screen is cracked / the crack is expanding ,Y,19-10-2022,Incident,     hardware issue   laptop screen be crack   the,hardware issue   laptop screen be crack   the,hardware issue laptop screen,66.89294339722879,11,screen-issue,1.0,screen-laptop,Laptop Hardware Issue - Laptop screen is cracked / the crack is expanding 
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,22-09-2022,Incident,                               hardware issue   la,                            hardware issue   laptop,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,26-12-2022,Incident,                               hardware issue   la,                            hardware issue   laptop,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop
AM,Access,United States,Deskside,Box - Install and access Issue,Y,02-09-2022,Incident,                        box   install and access i,                     box   install and access issue,box install access issue,67.66960127771118,4,drive-update,1.0,box-access,Access Box - Install and access Issue
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop HF5R473 to HJ6RXD3 ,Y,20-09-2022,Incident,     report issue   hardware   laptop_desktop hf5r,report issue   hardware   laptop_desktop hf5r,report issue hardware laptop_desktop hf5r,68.005206017744,3,report-issue,0.0,laptop_desktop-report,Laptop Reported Issue - Hardware - Laptop_Desktop HF5R473 to HJ6RXD3 
AM,M365,United States,Deskside, IRV - MS Teams / Telecom  Voice Calling- Issues - Paula Paredes,Y,20-01-2023,Incident,        irv   ms team   telecom   voice call issue,  irv   ms team   telecom   voice call issue,irv ms team telecom voice,36.5632975370075,5,team-microsoft,0.0,telecom-ms,M365  IRV - MS Teams / Telecom  Voice Calling- Issues - Paula Paredes
AP,,Australia,Deskside,Application Issue - OneDrive Not Opening,Y,29-11-2022,Incident,             application issue   onedrive not open,           application issue   onedrive not open,application issue onedrive,63.71284690142664,3,report-issue,1.0,onedrive-application,nan Application Issue - OneDrive Not Opening
AM,,United States,Deskside,Dell docking stations box equipment INC1049111 as reference,Y,14-11-2022,Incident,    dell docking stations box equipment inc1049111,dell docking stations box equipment inc1049111,stations box equipment inc1049111,61.85914717799812,4,drive-update,0.0,equipment-box,nan Dell docking stations box equipment INC1049111 as reference
AM,,Canada,Deskside,JLL Sharepoint Excel File permissions,Y,16-09-2022,Incident,              jll sharepoint excel file permission,              jll sharepoint excel file permission,jll sharepoint excel file permission,34.96484808151731,11,screen-issue,1.0,permission-sharepoint,nan JLL Sharepoint Excel File permissions
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-11-2022,Incident,                               hardware issue   la,                            hardware issue   laptop,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop
AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,01-12-2022,Incident,          report issue   hardware   laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop,68.005206017744,3,report-issue,0.0,laptop_desktop-report,Laptop Reported Issue - Hardware - Laptop_Desktop
AM,,United States,Deskside,WebEx Meetings - Meeting / Disable the lobby in the personal room,Y,28-09-2022,Incident,    webex meeting   meeting   disable the lobby in,webex meeting   meeting   disable the lobby in,webex meeting meeting,60.8049042493853,5,team-microsoft,0.0,meeting-webex,nan WebEx Meetings - Meeting / Disable the lobby in the personal room
AM,,United States,Deskside,Steve Sinisi - Google Chrome - Issues After Update,Y,02-11-2022,Incident, steve sinisi   google chrome   issue after update,steve sinisi   google chrome   issue after update,steve sinisi google chrome issue,48.86499428021344,1,printer-hardware,1.0,steve-chrome,nan Steve Sinisi - Google Chrome - Issues After Update
AM,Laptop,United States,Deskside,(Hard-Down) Reported Issue - Hardware - Laptop_Desktop,Y,24-10-2022,Incident,       harddown report issue   hardware   laptop _,harddown report issue   hardware   laptop _,harddown report issue hardware laptop _,34.75991593955048,4,drive-update,0.0,harddown-report,Laptop (Hard-Down) Reported Issue - Hardware - Laptop_Desktop
AM,Laptop,United States,Deskside,Donna Whitney-Reported Issue - Hardware - Laptop_Desktop,Y,18-10-2022,Incident,     donna whitneyreporte issue   hardware   lapto,donna whitneyreporte issue   hardware   lapto,donna whitneyreporte issue hardware lapto,61.738542958640686,11,screen-issue,1.0,lapto-hardware,Laptop Donna Whitney-Reported Issue - Hardware - Laptop_Desktop
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,28-09-2022,Incident,          report issue   hardware   laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop,68.005206017744,3,report-issue,0.0,laptop_desktop-report,Laptop Reported Issue - Hardware - Laptop_Desktop
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                              hardware troubleshoo,                           hardware troubleshooting,,54.16666666655456,2,laptop-hardware,1.0,nan-function,Hardware Hardware Troubleshooting
AP,Email,Bangladesh,Deskside,Email Issues,Y,15-09-2022,Incident,                                       email issue,                                       email issue,email issue,59.27947050057549,0,outlook-email,0.0,email-issue,Email Email Issues
AM,Hardware,United States,Deskside,Hardware Issue - Monitor are not connecting to the Docking station / Monitors are not detected,Y,14-10-2022,Incident,        hardware issue   monitor be not connect to,hardware issue   monitor be not connect to,hardware issue monitor,63.87089415928048,7,adobe-acrobat,1.0,monitor-hardware,Hardware Hardware Issue - Monitor are not connecting to the Docking station / Monitors are not detected
AM,,United States,Deskside,Reported Issue - Application - Alteryx,Y,04-10-2022,Incident,              report issue   application   alteryx,             report issue   application   alteryx,report issue application alteryx,65.25026252646364,0,outlook-email,0.0,alteryx-application,nan Reported Issue - Application - Alteryx
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,08-09-2022,Incident,          report issue   hardware   laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop,68.005206017744,3,report-issue,0.0,laptop_desktop-report,Laptop Reported Issue - Hardware - Laptop_Desktop
AM,Laptop,United States,Deskside,Laptop issues - Performance,Y,08-09-2022,Incident,                        laptop issue   performance,                        laptop issue   performance,laptop issue performance,64.49142836113751,2,laptop-hardware,1.0,performance-laptop,Laptop Laptop issues - Performance
AM,,United States,Deskside,"Tom Bondor - CITRIX Receiver   - Error: ""Account is not configured""",Y,20-09-2022,Incident,     tom bondor   citrix receiver     error accoun,tom bondor   citrix receiver     error accoun,tom bondor citrix receiver error accoun,41.718276822382535,0,outlook-email,0.0,tom-receiver,"nan Tom Bondor - CITRIX Receiver   - Error: ""Account is not configured"""
AM,Laptop,United States,Deskside,Hardware Issue - Laptop (Power button),Y,19-09-2022,Incident,              hardware issue   laptop power button,             hardware issue   laptop power button,hardware issue laptop power button,42.92578377543856,9,office-wifi,1.0,button-power,Laptop Hardware Issue - Laptop (Power button)
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Audio issue,Y,05-09-2022,Incident,               jll hardware issue   laptop audio i,            jll hardware issue   laptop audio issue,jll hardware issue laptop audio issue,70.50628340529065,2,laptop-hardware,,,Laptop JLL Hardware Issue - Laptop Audio issue
AM,,United States,Deskside,Vpn - Disconnect constantly,Y,08-11-2022,Incident,                           vpn   disconnect consta,                        vpn   disconnect constantly,vpn disconnect,40.10097277159986,10,window-keyboard,1.0,disconnect-vpn,nan Vpn - Disconnect constantly
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,21-09-2022,Incident,                               hardware issue   la,                            hardware issue   laptop,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Repair Assistance,Y,22-11-2022,Incident,         jll hardware issue   laptop repair assist,      jll hardware issue   laptop repair assistance,jll hardware issue laptop repair assistance,53.13076230716346,2,laptop-hardware,0.0,repair-assistance,Laptop JLL Hardware Issue - Laptop Repair Assistance
AM,Laptop,Canada,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,19-09-2022,Incident,          report issue   hardware   laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop,68.005206017744,3,report-issue,0.0,laptop_desktop-report,Laptop Reported Issue - Hardware - Laptop_Desktop
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,22-09-2022,Incident,          report issue   hardware   laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop,68.005206017744,3,report-issue,0.0,laptop_desktop-report,Laptop Reported Issue - Hardware - Laptop_Desktop
AM,Active Directory,United States,Deskside,Software Issues - IT monitor issues.,Y,16-09-2022,Incident,                 software issue   it monitor issue,               software issue   it monitor issue,software issue monitor issue,41.73818357169745,7,adobe-acrobat,1.0,monitor-software,Active Directory Software Issues - IT monitor issues.
AM,Hardware,Canada,Deskside,Reported Issue - Hardware - Monitor,Y,05-10-2022,Incident,                 report issue   hardware   monitor,                report issue   hardware   monitor,report issue hardware monitor,39.26690548933498,7,adobe-acrobat,1.0,monitor-report,Hardware Reported Issue - Hardware - Monitor
AM,Laptop,United States,Deskside,Adam Bargar - Hardware Issue - Laptop Battery Issues.,Y,02-11-2022,Incident,   adam bargar   hardware issue   laptop battery i,adam bargar   hardware issue   laptop battery I,adam bargar hardware issue laptop battery,37.19933463061064,2,laptop-hardware,1.0,adam-battery,Laptop Adam Bargar - Hardware Issue - Laptop Battery Issues.
AP,,Australia,Deskside,Reported Issue - Application - Adobe Sign,Y,21-09-2022,Incident,           report issue   application   adobe sign,          report issue   application   adobe sign,report issue application adobe,36.78358928650567,3,report-issue,1.0,adobe-application,nan Reported Issue - Application - Adobe Sign
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,07-09-2022,Incident,                 hardware issue   laptop not start,               hardware issue   laptop not start,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop Not starting
AM,Windows / OS,United States,Deskside,Windows  -  The message still popping up / Hard drive issue,Y,15-09-2022,Incident,        window     the message still pop up   hard,window     the message still pop up   hard,,54.16666666655456,2,laptop-hardware,1.0,nan-function,Windows / OS Windows  -  The message still popping up / Hard drive issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,16-09-2022,Incident,                 hardware issue   laptop not start,               hardware issue   laptop not start,hardware issue laptop,65.91568806647155,2,laptop-hardware,1.0,laptop-hardware,Laptop Hardware Issue - Laptop Not starting
AM,M365,United States,Deskside,Office 365 -License Upgrade.,Y,19-09-2022,Incident,                        office 365 license upgrade,                       office 365 license upgrade,license upgrade,35.85085953832377,10,window-keyboard,0.0,upgrade-license,M365 Office 365 -License Upgrade.
AM,Laptop,United States,Deskside,Hardware Issue - Laptop (Fan broken),Y,14-10-2022,Incident,                 hardware issue   laptop fan break,               hardware issue   laptop fan break,hardware issue laptop fan,65.63487366591484,11,screen-issue,1.0,fan-laptop,Laptop Hardware Issue - Laptop (Fan broken)
AP,M365,India,Deskside,Application Issues,Y,15-09-2022,Incident,                                 application issue,                                 application issue,application issue,60.71773668899897,3,report-issue,1.0,application-issue,M365 Application Issues
AP,,India,Deskside,Application Issues,Y,28-09-2022,Incident,                                 application issue,                                 application issue,application issue,60.71773668899897,3,report-issue,1.0,application-issue,nan Application Issues
AM,,United States,Deskside,"MULTIPLE FILES NOW SAY CORRUPT IN ONEDRIVE ""JLL Excel File unreadable""",Y,15-09-2022,Incident,     multiple file now say corrupt in onedrive jll,multiple file now say corrupt in onedrive jll,multiple file onedrive jll,30.582288272131624,9,office-wifi,1.0,multiple-onedrive,"nan MULTIPLE FILES NOW SAY CORRUPT IN ONEDRIVE ""JLL Excel File unreadable"""
AM,Laptop,United States,Deskside,Chris Johnson-JLL Hardware Issue - Laptop Bad Performance - Replacement approval required,Y,05-09-2022,Incident,    chris johnsonjll hardware issue   laptop bad p,chris johnsonjll hardware issue   laptop bad p,chris johnsonjll hardware issue laptop bad p,67.851601373597,1,printer-hardware,1.0,bad-chris,Laptop Chris Johnson-JLL Hardware Issue - Laptop Bad Performance - Replacement approval required
AM,,United States,Deskside,Reported Issue - Other / Miscellaneous,Y,27-09-2022,Incident,              report issue   other   miscellaneous,             report issue   other   miscellaneous,report issue,61.1277078261925,3,report-issue,0.0,report-issue,nan Reported Issue - Other / Miscellaneous
AM,Laptop,United States,Deskside,CapitalMarkets - Replacement Laptop for Producer |  Dell 7420 ST 4M5N5M3 | Deployed,Y,08-09-2022,Incident,    capitalmarket   replacement laptop for produce,capitalmarket   replacement laptop for produce,capitalmarket replacement laptop,59.996970932164665,11,screen-issue,0.0,replacement-laptop,Laptop CapitalMarkets - Replacement Laptop for Producer |  Dell 7420 ST 4M5N5M3 | Deployed
AP,,India,Deskside,Application Issues,Y,12-09-2022,Incident,                                 application issue,                                 application issue,application issue,60.71773668899897,3,report-issue,1.0,application-issue,nan Application Issues
AP,Hardware,India,Deskside,Hardware Troubleshooting,Y,05-09-2022,Incident,                              hardware troubleshoo,                           hardware troubleshooting,,54.16666666655456,2,laptop-hardware,1.0,nan-function,Hardware Hardware Troubleshooting
