Region,Category,Country,Group,Summary,TSC,Date,Type,Cleaned_Column,Lemmatized_Column,Final_cleaned
AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key - Non-Encrypted systems - Bitlocker - Istanbul TRISTN0277 or TRISTN03409 ,Y,29-09-2022,Incident,hardware issue  laptop  bitlocker key  none,hardware issue   laptop   bitlocker key   none,hardware issue laptop bitlocker key
AM,,India,Deskside,Managed Security Services reproted a Security Incident for User  EU\Bogdan.Blendea for executing a supicious process on ROBUCN0129 ,Y,16-11-2022,Incident,managed security services reproted a security i,manage security service reprote a security I,manage security service reprote
AP,M365,Hong Kong,Deskside,Microsoft Teams - update MS Teams dial in number to English version,Y,23-11-2022,Incident,microsoft teams  update ms teams dial in numbe,microsoft team   update ms team dial in numbe,microsoft team update ms team dial
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                          hardware troubleshooting,                           hardware troubleshooting,
AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key,Y,05-10-2022,Incident,           hardware issue  laptop  bitlocker key,            hardware issue   laptop   bitlocker key,hardware issue laptop bitlocker key
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,21-09-2022,Incident,        reported issue  hardware  laptop_desktop,         report issue   hardware   laptop_desktop,report issue hardware laptop_desktop
AP,,Sri Lanka,Deskside,Application Issues,Y,27-09-2022,Incident,                                application issues,                                 application issue,application issue
AP,,Sri Lanka,Deskside,Application Configuration,Y,27-09-2022,Incident,                         application configuration,                          application configuration,application configuration
AM,Laptop,India,Deskside,Hardware Issue - Laptop,Y,05-10-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-11-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,07-11-2022,Incident,               hardware issue  laptop performance,                hardware issue   laptop performance,hardware issue laptop performance
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery,Y,07-11-2022,Incident,                   hardware issue  laptop battery,                    hardware issue   laptop battery,hardware issue laptop battery
AM,Hardware,United States,Deskside,Hardware Issue - Docking Station(does not supply full power),Y,03-02-2023,Incident,hardware issue  docking stationdoes not suppl,hardware issue   docking stationdoe not suppl,hardware issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,03-02-2023,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Windows / OS,United States,Deskside,Windows 10 - Issues ,Y,08-09-2022,Incident,                              windows 10  issues ,                               window 10   issue,
