Region,Category,Country,Group,Summary,TSC,Date,Type
AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key - Non-Encrypted systems - Bitlocker - Istanbul TRISTN0277 or TRISTN03409 ,Y,29-09-2022,Incident
AM,,India,Deskside,Managed Security Services reproted a Security Incident for User  EU\Bogdan.Blendea for executing a supicious process on ROBUCN0129 ,Y,16-11-2022,Incident
AP,M365,Hong Kong,Deskside,Microsoft Teams - update MS Teams dial in number to English version,Y,23-11-2022,Incident
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident
AM,Laptop,India,Deskside,Hardware Issue - Laptop - BitLocker Key,Y,05-10-2022,Incident
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,21-09-2022,Incident
AP,,Sri Lanka,Deskside,Application Issues,Y,27-09-2022,Incident
AP,,Sri Lanka,Deskside,Application Configuration,Y,27-09-2022,Incident
AM,Laptop,India,Deskside,Hardware Issue - Laptop,Y,05-10-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-11-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,07-11-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery,Y,07-11-2022,Incident
AM,Hardware,United States,Deskside,Hardware Issue - Docking Station(does not supply full power),Y,03-02-2023,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,03-02-2023,Incident
AM,Windows / OS,United States,Deskside,Windows 10 - Issues ,Y,08-09-2022,Incident
AM,,India,Deskside,Encryption missing on the attached systems,Y,22-09-2022,Incident
AM,M365,United States,Deskside,Azuresynapce - Microsoft Integration Runtime,Y,22-09-2022,Incident
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident
EMEA,Laptop,Spain,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,16-01-2023,Incident
